accuracy,loss,val_accuracy,val_loss,learning_rate
0.4584927260875702,1.7829904556274414,0.5426603555679321,1.4241011142730713,0.0010000000474974513
0.6293993592262268,1.1399339437484741,0.5962249636650085,1.261751651763916,0.0010000000474974513
0.6804705262184143,0.9676859974861145,0.5749266743659973,1.401820182800293,0.0010000000474974513
0.7106286883354187,0.8728699684143066,0.6027292609214783,1.292461633682251,0.0010000000474974513
0.7352397441864014,0.7958475947380066,0.642009973526001,1.1576045751571655,0.0010000000474974513
0.7463019490242004,0.7599489688873291,0.6287463307380676,1.2056682109832764,0.0010000000474974513
0.7550370097160339,0.7313025593757629,0.6158653497695923,1.2816728353500366,0.0010000000474974513
0.7672150135040283,0.7047193646430969,0.6468562483787537,1.2091872692108154,0.0010000000474974513
0.8047373294830322,0.5871146321296692,0.6580793261528015,1.159043788909912,0.0005000000237487257
0.8049604892730713,0.5778917074203491,0.6422650218009949,1.222387671470642,0.0005000000237487257
